BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION START DATE,Y,X
EN POKE BAR INC,,16060 VENTURA BLVD #111,ENCINO,91436-2761,16060 VENTURA 91436-2761,11/20/2016,34.0285,-118.4116
OKIPOKE LLC,OKIPOKI,501 S SPRING STREET #507,LOS ANGELES,90013-1793,501 SPRING 90013-1793,10/1/2015,34.024,-118.1419
DA FAT FISH LLC,TIKI FISH,3300 OVERLAND AVENUE SUITE #103,LOS ANGELES,90034-3592,3300 OVERLAND 90034,7/28/2016,34.0224,-118.2877
SNOCIETY INC,SNOCIETY URBAN EATERY,330 E 2ND STREET #C,LOS ANGELES,90012-4236,330 2ND 90012-4236,9/21/2016,34.0106,-118.2777
SWEETFIN WW LLC,SWEETFIN POKï¿½,6256 TOPANGA CANYON BLVD SUITE #1310,WOODLAND HILLS,91367-2285,6256 TOPANGA CANYON 91367-2285,2/1/2016,34.0059,-118.3342
SWEETFISH POKE VENTURES LLC,HONEYFISH POKE,8850 TAMPA AVENUE UNIT #107,NORTHRIDGE,91324-3598,8850 TAMPA 91324-3598,11/19/2015,33.9998,-118.4207
WW POKE BAR INC,,1135 WESTWOOD BLVD,LOS ANGELES,90024-3411,1135 WESTWOOD 90024-3411,3/11/2016,33.9879,-118.2084
POKEGAMI LLC,OKIPOKI,507 S SPRING STREET,LOS ANGELES,90013-2303,507 SPRING 90013-2303,10/19/2016,33.9779,-118.4004
NATUREWELL NO 2 INC,NATUREWELL NO 2,11925 VENTURA BLVD,STUDIO CITY,91604-2607,11925 VENTURA 91604-2607,8/1/2015,33.9377,-118.3613
THE POKE SHACK MELROSE LLC,,7257 MELROSE AVENUE,LOS ANGELES,90046-7635,7257 MELROSE 90046-7635,6/1/2016,33.8751,-117.7373
MAINLAND,,8318 1/2 W 3RD STREET,LOS ANGELES,90048-4311,8318 3RD 90048-4311,3/30/2015,33.7623,-118.3037
HAU'OLI INC,POKINOMETRY,6801 HOLLYWOOD BLVD,LOS ANGELES,90028-6136,6801 HOLLYWOOD 90028-6136,2/15/2015,33.7342,-118.2982
SWEETFIN WEST 3RD LLC,SWEETFIN POKE,8075 W 3RD STREET SUITE #100,LOS ANGELES,90048-4335,8075 3RD 90048,1/25/2017,,
BLACK HOGG INC,OHANA POKE SOPRESSATA,2852 W SUNSET BLVD,LOS ANGELES,90026-2126,2852 SUNSET 90026-2126,3/29/2011,,
