Building Name,City,Height (m),Height (ft),Floors,Completed,Material,Use,source: skyscraper center
Capella Tower,Minneapolis,236.5,776,56,1992,composite,office,
Wells Fargo Center,Minneapolis,236.3,775,56,1988,composite,office,
1201 Third Avenue Tower,Seattle,235.3,772,55,1988,steel,office,
191 Peachtree Tower,Atlanta,234.7,770,50,1992,composite,office,
Three First National Plaza,Chicago,233.6,767,57,1981,composite,office,
Southeast Financial Center,Miami,232.8,764,55,1983,composite,office,
Heritage Plaza,Houston,232.3,762,53,1987,steel,office,
118 Fulton Street,New York City,231,758,63,2018,concrete,residential,
Carnegie Hall Tower,New York City,230.7,757,60,1991,concrete,office,
609 Main at Texas,Houston,230.7,757,49,2017,concrete,office,
Chicago Title & Trust Center,Chicago,230.5,756,50,1992,composite,office,
Enterprise Plaza,Houston,230.4,756,55,1980,composite,office,
383 Madison Avenue,New York City,230.3,755,47,2001,steel,office,
Courtyard & Residence Inn Manhattan/Central Park,New York City,229.6,753,67,2013,concrete,hotel,
AXA Center,New York City,229.2,752,51,1985,steel,office,
One Penn Plaza,New York City,228.6,750,57,1972,steel,office,
1251 Avenue of the Americas,New York City,228.6,750,54,1972,steel,office,
Prudential Tower,Boston,228.6,750,52,1964,steel,office,
Two California Plaza,Los Angeles,228.6,750,52,1992,steel,office,
Time Warner Center North Tower,New York City,228.3,749,55,2004,concrete/steel,residential / hotel / office,
Time Warner Center South Tower,New York City,228.3,749,55,2004,concrete/steel,residential / office,
Gas Company Tower,Los Angeles,228.3,749,52,1991,steel,office,
Goldman Sachs Headquarters,New York City,228.3,749,44,2010,steel,office,
Four Seasons Hotel and Private Residences One Dalton Street,Boston,227.2,746,61,2019,,residential / hotel,
60 Wall Street,New York City,227.1,745,55,1989,steel,office,
One Astor Plaza,New York City,227.1,745,54,1972,composite,office,
RSA Battle House Tower,Mobile,227.1,745,35,2007,steel/concrete,office,
Blue Cross-Blue Shield Tower,Chicago,226.7,744,54,2010,composite,office,
7 World Trade Center,New York City,226.5,743,49,2006,steel/concrete,office,
One Liberty Plaza,New York City,226.5,743,54,1972,steel,office,
Twenty Exchange,New York City,225.9,741,57,1931,steel,office,
Centerpoint Energy Plaza,Houston,225.9,741,53,1996,steel,office,
Two Union Square,Seattle,225.6,740,56,1989,composite,office,
Three Logan,Philadelphia,225.3,739,55,1991,steel,office,
Three World Financial Center,New York City,225.2,739,51,1986,steel,office,
JPMorgan Chase Tower,Dallas,224.9,738,55,1987,,office,
242 West 53rd Street,New York City,224.8,738,62,2018,concrete,residential,
Bank of America Plaza,Los Angeles,224,735,55,1975,steel,office,
Brickell Flatiron,Miami,223.7,734,64,2019,concrete,residential,
Bertelsmann Building,New York City,223.3,733,42,1990,,office,
1600 Smith Street,Houston,223.1,732,55,1984,steel,office,
River Point,Chicago,223,732,52,2017,composite,office,
Olympia Centre,Chicago,222.9,731,63,1986,concrete,residential / office,
3 Manhattan West,New York City,222.5,730,64,2017,concrete,residential / retail,
FMC Tower at Cira Centre South,Philadelphia,222.5,730,49,2017,composite,residential / office,
281 5th Avenue,New York City,221.9,728,52,2018,concrete,residential,
Detroit Marriott at the Renaissance Center,Detroit,221.5,727,70,1977,concrete,hotel,
One Museum Park,Chicago,221.3,726,62,2009,concrete,residential,
Times Square Tower,New York City,221.3,726,47,2004,steel,office,
150 North Riverside,Chicago,221.1,725,53,2017,composite,office,
One Mellon Center,Pittsburgh,221,725,54,1983,steel,office,
777 Tower,Los Angeles,221,725,53,1991,steel,office,
Fulbright Tower,Houston,221,725,52,1982,composite,office,
Westin Peachtree Plaza,Atlanta,220.4,723,73,1976,concrete,hotel,
Wells Fargo Tower,Los Angeles,220.4,723,54,1983,steel,office,
Seattle Municipal Tower,Seattle,220.1,722,57,1990,steel,office,
Fountain Place,Dallas,219.5,720,62,1986,steel,office,
Revel Resort and Casino,Atlantic City,218.9,718,53,2012,concrete,hotel / casino,
Figueroa at Wilshire,Los Angeles,218.5,717,52,1989,steel,office,
Metropolitan Tower,New York City,218.2,716,68,1985,concrete,residential / office,
252 East 57th Street,New York City,217.9,715,65,2016,concrete,residential,
Republic Plaza,Denver,217.6,714,56,1984,steel,office,
One Shell Plaza,Houston,217.6,714,50,1970,concrete,office,
100 East 53rd Street,New York City,216.7,711,61,2017,concrete,residential,
1801 California Plaza,Denver,216.1,709,52,1982,steel,office,
Terminal Tower,Cleveland,215.8,708,52,1928,steel,office,
JPMorgan Chase Tower,New York City,215.5,707,52,1960,steel,office,
One Thousand Museum,Miami,215.2,706,60,2018,concrete,residential,
General Motors Building,New York City,214.9,705,50,1968,steel,office,
23 Park Row,New York City,213.9,702,54,2019,concrete,residential,
