,TOTAL,WHITE,BLACK,AK_NH,ASIAN_NH,PI_NH,OTHER_NH,MIX_NH,HISP_ALL,WHITE_H,BLACK_H,AK_H,ASIAN_H,PI_H,OTHER_H,MIX_H,NAME,county,state,tract,county_map,AK,API,OTHER_MIX,HISP,AK_PER,API_PER,BLACK_PER,HISP_PER,OTHER_MIX_PER,WHITE_PER,MAX_ETH_PER,MAX_ETH,Above 70,Above 80,Above 90
63,4207.0,57.0,4046.0,12.0,45.0,0.0,0.0,11.0,36.0,0.0,15.0,14.0,0.0,0.0,0.0,7.0,"Census Tract 65, Philadelphia County, Pennsylvania",101,42,006500,"Philadelphia County, Pennsylvania",26.0,45.0,11.0,22.0,0.0061801758973140004,0.010696458283812693,0.961730449251248,0.005229379605419538,0.002614689802709769,0.013548847159496079,0.961730449251248,BLACK_PER,1,1,1
64,3368.0,203.0,2601.0,0.0,433.0,0.0,0.0,53.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 66, Philadelphia County, Pennsylvania",101,42,006600,"Philadelphia County, Pennsylvania",0.0,433.0,53.0,78.0,0.0,0.12856294536817103,0.7722684085510689,0.02315914489311164,0.015736342042755345,0.06027315914489311,0.7722684085510689,BLACK_PER,1,0,0
65,6512.0,422.0,5221.0,20.0,536.0,0.0,0.0,84.0,229.0,74.0,108.0,0.0,0.0,0.0,47.0,0.0,"Census Tract 67, Philadelphia County, Pennsylvania",101,42,006700,"Philadelphia County, Pennsylvania",20.0,536.0,84.0,229.0,0.003071253071253071,0.08230958230958231,0.8017506142506142,0.03516584766584767,0.012899262899262898,0.0648034398034398,0.8017506142506142,BLACK_PER,1,1,0
66,2542.0,83.0,2318.0,8.0,0.0,0.0,0.0,0.0,133.0,21.0,0.0,0.0,0.0,0.0,65.0,47.0,"Census Tract 69, Philadelphia County, Pennsylvania",101,42,006900,"Philadelphia County, Pennsylvania",8.0,0.0,0.0,133.0,0.003147128245476003,0.0,0.9118804091266719,0.052321007081038554,0.0,0.032651455546813535,0.9118804091266719,BLACK_PER,1,1,1
67,3530.0,82.0,3374.0,0.0,65.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 70, Philadelphia County, Pennsylvania",101,42,007000,"Philadelphia County, Pennsylvania",0.0,65.0,0.0,9.0,0.0,0.018413597733711047,0.9558073654390935,0.0025495750708215297,0.0,0.02322946175637394,0.9558073654390935,BLACK_PER,1,1,1
68,2546.0,79.0,2433.0,0.0,27.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 71.01, Philadelphia County, Pennsylvania",101,42,007101,"Philadelphia County, Pennsylvania",0.0,27.0,0.0,7.0,0.0,0.010604870384917517,0.9556166535742341,0.0027494108405341712,0.0,0.031029065200314218,0.9556166535742341,BLACK_PER,1,1,1
69,4610.0,51.0,4287.0,37.0,0.0,0.0,0.0,50.0,185.0,18.0,0.0,0.0,0.0,0.0,167.0,0.0,"Census Tract 71.02, Philadelphia County, Pennsylvania",101,42,007102,"Philadelphia County, Pennsylvania",37.0,0.0,50.0,185.0,0.008026030368763558,0.0,0.9299349240780911,0.04013015184381779,0.010845986984815618,0.01106290672451193,0.9299349240780911,BLACK_PER,1,1,1
70,5046.0,93.0,4608.0,0.0,142.0,0.0,0.0,110.0,93.0,52.0,0.0,0.0,0.0,0.0,1.0,40.0,"Census Tract 72, Philadelphia County, Pennsylvania",101,42,007200,"Philadelphia County, Pennsylvania",0.0,142.0,110.0,93.0,0.0,0.028141101862861673,0.9131985731272295,0.018430439952437573,0.02179944510503369,0.018430439952437573,0.9131985731272295,BLACK_PER,1,1,1
71,2529.0,124.0,2309.0,0.0,0.0,0.0,0.0,65.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,13.0,"Census Tract 73, Philadelphia County, Pennsylvania",101,42,007300,"Philadelphia County, Pennsylvania",18.0,0.0,65.0,13.0,0.0071174377224199285,0.0,0.9130090945037564,0.005140371688414393,0.025701858442071967,0.049031237643337285,0.9130090945037564,BLACK_PER,1,1,1
72,4377.0,428.0,3612.0,0.0,51.0,0.0,0.0,171.0,115.0,93.0,0.0,0.0,0.0,0.0,22.0,0.0,"Census Tract 74, Philadelphia County, Pennsylvania",101,42,007400,"Philadelphia County, Pennsylvania",0.0,51.0,171.0,115.0,0.0,0.011651816312542838,0.8252227553118574,0.026273703449851495,0.03906785469499657,0.09778387023075166,0.8252227553118574,BLACK_PER,1,1,0
