,Unnamed: 0,Season,Season URL,Stadium,Stadium_url,Teams,Surface
39,39,1978,https://www.pro-football-reference.com/teams/crd/1978.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
40,40,1977,https://www.pro-football-reference.com/teams/crd/1977.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
41,41,1976,https://www.pro-football-reference.com/teams/crd/1976.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
42,42,1975,https://www.pro-football-reference.com/teams/crd/1975.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
43,43,1974,https://www.pro-football-reference.com/teams/crd/1974.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
44,44,1973,https://www.pro-football-reference.com/teams/crd/1973.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
45,45,1972,https://www.pro-football-reference.com/teams/crd/1972.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
46,46,1971,https://www.pro-football-reference.com/teams/crd/1971.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
47,47,1970,https://www.pro-football-reference.com/teams/crd/1970.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
48,48,1969,https://www.pro-football-reference.com/teams/crd/1969.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
49,49,1968,https://www.pro-football-reference.com/teams/crd/1968.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
50,50,1967,https://www.pro-football-reference.com/teams/crd/1967.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
51,51,1966,https://www.pro-football-reference.com/teams/crd/1966.htm,Civic Center Busch Memorial Stadium,/stadiums/STL99.htm,Arizona Cardinals," grass (1966-1969), astroturf (1970-1995)"
52,52,1965,https://www.pro-football-reference.com/teams/crd/1965.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
53,53,1964,https://www.pro-football-reference.com/teams/crd/1964.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
54,54,1963,https://www.pro-football-reference.com/teams/crd/1963.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
55,55,1962,https://www.pro-football-reference.com/teams/crd/1962.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
56,56,1961,https://www.pro-football-reference.com/teams/crd/1961.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
57,57,1960,https://www.pro-football-reference.com/teams/crd/1960.htm,Busch Stadium (Sportsman's Par,/stadiums/STL98.htm,Arizona Cardinals, grass (1923-1965)
58,58,1959,https://www.pro-football-reference.com/teams/crd/1959.htm,,,Arizona Cardinals,
59,59,1958,https://www.pro-football-reference.com/teams/crd/1958.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
60,60,1957,https://www.pro-football-reference.com/teams/crd/1957.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
61,61,1956,https://www.pro-football-reference.com/teams/crd/1956.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
62,62,1955,https://www.pro-football-reference.com/teams/crd/1955.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
63,63,1954,https://www.pro-football-reference.com/teams/crd/1954.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
64,64,1953,https://www.pro-football-reference.com/teams/crd/1953.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
65,65,1952,https://www.pro-football-reference.com/teams/crd/1952.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
66,66,1951,https://www.pro-football-reference.com/teams/crd/1951.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
67,67,1950,https://www.pro-football-reference.com/teams/crd/1950.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
68,68,1949,https://www.pro-football-reference.com/teams/crd/1949.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
69,69,1948,https://www.pro-football-reference.com/teams/crd/1948.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
70,70,1947,https://www.pro-football-reference.com/teams/crd/1947.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
71,71,1946,https://www.pro-football-reference.com/teams/crd/1946.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
72,72,1945,https://www.pro-football-reference.com/teams/crd/1945.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
73,73,1944,https://www.pro-football-reference.com/teams/crd/1944.htm,Forbes Field,/stadiums/PIT97.htm,Arizona Cardinals, grass (1933-1963)
74,74,1943,https://www.pro-football-reference.com/teams/crd/1943.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
75,75,1942,https://www.pro-football-reference.com/teams/crd/1942.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
76,76,1941,https://www.pro-football-reference.com/teams/crd/1941.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
77,77,1940,https://www.pro-football-reference.com/teams/crd/1940.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
78,78,1939,https://www.pro-football-reference.com/teams/crd/1939.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
79,79,1938,https://www.pro-football-reference.com/teams/crd/1938.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
80,80,1937,https://www.pro-football-reference.com/teams/crd/1937.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
81,81,1936,https://www.pro-football-reference.com/teams/crd/1936.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
82,82,1935,https://www.pro-football-reference.com/teams/crd/1935.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
83,83,1934,https://www.pro-football-reference.com/teams/crd/1934.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
84,84,1933,https://www.pro-football-reference.com/teams/crd/1933.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
85,85,1932,https://www.pro-football-reference.com/teams/crd/1932.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
86,86,1931,https://www.pro-football-reference.com/teams/crd/1931.htm,Wrigley Field,/stadiums/CHI96.htm,Arizona Cardinals, grass (1920-1970)
87,87,1930,https://www.pro-football-reference.com/teams/crd/1930.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
88,88,1929,https://www.pro-football-reference.com/teams/crd/1929.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
89,89,1928,https://www.pro-football-reference.com/teams/crd/1928.htm,Normal Park,/stadiums/CHI94.htm,Arizona Cardinals, grass (1920-1928)
90,90,1927,https://www.pro-football-reference.com/teams/crd/1927.htm,Normal Park,/stadiums/CHI94.htm,Arizona Cardinals, grass (1920-1928)
91,91,1926,https://www.pro-football-reference.com/teams/crd/1926.htm,Normal Park,/stadiums/CHI94.htm,Arizona Cardinals, grass (1920-1928)
92,92,1925,https://www.pro-football-reference.com/teams/crd/1925.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
93,93,1924,https://www.pro-football-reference.com/teams/crd/1924.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
94,94,1923,https://www.pro-football-reference.com/teams/crd/1923.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
95,95,1922,https://www.pro-football-reference.com/teams/crd/1922.htm,Comiskey Park,/stadiums/CHI95.htm,Arizona Cardinals, grass (1922-1958)
96,96,1921,https://www.pro-football-reference.com/teams/crd/1921.htm,,,Arizona Cardinals,
