,Season,Stadium,Teams,Actual Surface
108,2007,Georgia Dome,Atlanta Falcons,fieldturf
109,2006,Georgia Dome,Atlanta Falcons,fieldturf
110,2005,Georgia Dome,Atlanta Falcons,fieldturf
111,2004,Georgia Dome,Atlanta Falcons,fieldturf
112,2003,Georgia Dome,Atlanta Falcons,fieldturf
113,2002,Georgia Dome,Atlanta Falcons,astroturf
114,2001,Georgia Dome,Atlanta Falcons,astroturf
115,2000,Georgia Dome,Atlanta Falcons,astroturf
116,1999,Georgia Dome,Atlanta Falcons,astroturf
117,1998,Georgia Dome,Atlanta Falcons,astroturf
118,1997,Georgia Dome,Atlanta Falcons,astroturf
119,1996,Georgia Dome,Atlanta Falcons,astroturf
120,1995,Georgia Dome,Atlanta Falcons,astroturf
121,1994,Georgia Dome,Atlanta Falcons,astroturf
122,1993,Georgia Dome,Atlanta Falcons,astroturf
123,1992,Georgia Dome,Atlanta Falcons,astroturf
124,1991,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
125,1990,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
126,1989,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
127,1988,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
128,1987,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
129,1986,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
130,1985,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
131,1984,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
132,1983,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
133,1982,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
134,1981,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
135,1980,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
136,1979,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
137,1978,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
138,1977,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
139,1976,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
140,1975,Atlanta Stadium,Atlanta Falcons,grass
141,1974,Atlanta Stadium,Atlanta Falcons,grass
142,1973,Atlanta Stadium,Atlanta Falcons,grass
143,1972,Atlanta Stadium,Atlanta Falcons,grass
144,1971,Atlanta Stadium,Atlanta Falcons,grass
145,1970,Atlanta Stadium,Atlanta Falcons,grass
146,1969,Atlanta Stadium,Atlanta Falcons,grass
147,1968,Atlanta Stadium,Atlanta Falcons,grass
148,1967,Atlanta Stadium,Atlanta Falcons,grass
149,1966,Atlanta Stadium,Atlanta Falcons,grass
150,2017,M&T Bank Stadium,Baltimore Ravens,grass
151,2016,M&T Bank Stadium,Baltimore Ravens,grass
152,2015,M&T Bank Stadium,Baltimore Ravens,sportturf
153,2014,M&T Bank Stadium,Baltimore Ravens,sportturf
154,2013,M&T Bank Stadium,Baltimore Ravens,sportturf
155,2012,M&T Bank Stadium,Baltimore Ravens,sportturf
156,2011,M&T Bank Stadium,Baltimore Ravens,sportturf
157,2010,M&T Bank Stadium,Baltimore Ravens,fieldturf
158,2009,M&T Bank Stadium,Baltimore Ravens,sportturf
159,2008,M&T Bank Stadium,Baltimore Ravens,sportturf
160,2007,M&T Bank Stadium,Baltimore Ravens,sportturf
161,2006,M&T Bank Stadium,Baltimore Ravens,sportturf
162,2005,M&T Bank Stadium,Baltimore Ravens,sportturf
163,2004,M&T Bank Stadium,Baltimore Ravens,sportturf
164,2003,M&T Bank Stadium,Baltimore Ravens,sportturf
165,2002,Ravens Stadium,Baltimore Ravens,grass
166,2001,PSINet Stadium,Baltimore Ravens,grass
167,2000,PSINet Stadium,Baltimore Ravens,grass
168,1999,PSINet Stadium,Baltimore Ravens,grass
169,1998,Ravens Stadium at Camden Yards,Baltimore Ravens,grass
170,1997,Memorial Stadium (Baltimore),Baltimore Ravens,grass
171,1996,Memorial Stadium (Baltimore),Baltimore Ravens,grass
172,2017,New Era Field,Buffalo Bills,a_turf
173,2016,New Era Field,Buffalo Bills,a_turf
174,2015,Ralph Wilson Stadium,Buffalo Bills,a_turf
175,2014,Ralph Wilson Stadium,Buffalo Bills,a_turf
176,2013,Ralph Wilson Stadium,Buffalo Bills,a_turf
177,2012,Ralph Wilson Stadium,Buffalo Bills,a_turf
178,2011,Ralph Wilson Stadium,Buffalo Bills,a_turf
179,2010,Ralph Wilson Stadium,Buffalo Bills,astroplay
180,2009,Ralph Wilson Stadium,Buffalo Bills,astroplay
181,2008,Ralph Wilson Stadium,Buffalo Bills,astroplay
182,2007,Ralph Wilson Stadium,Buffalo Bills,astroplay
183,2006,Ralph Wilson Stadium,Buffalo Bills,astroplay
184,2005,Ralph Wilson Stadium,Buffalo Bills,astroplay
185,2004,Ralph Wilson Stadium,Buffalo Bills,astroplay
186,2003,Ralph Wilson Stadium,Buffalo Bills,astroplay
187,2002,Ralph Wilson Stadium,Buffalo Bills,astroturf
188,2001,Ralph Wilson Stadium,Buffalo Bills,astroturf
189,2000,Ralph Wilson Stadium,Buffalo Bills,astroturf
190,1999,Ralph Wilson Stadium,Buffalo Bills,astroturf
191,1998,Rich Stadium,Buffalo Bills,astroturf
192,1997,Rich Stadium,Buffalo Bills,astroturf
193,1996,Rich Stadium,Buffalo Bills,astroturf
194,1995,Rich Stadium,Buffalo Bills,astroturf
195,1994,Rich Stadium,Buffalo Bills,astroturf
196,1993,Rich Stadium,Buffalo Bills,astroturf
197,1992,Rich Stadium,Buffalo Bills,astroturf
198,1991,Rich Stadium,Buffalo Bills,astroturf
199,1990,Rich Stadium,Buffalo Bills,astroturf
200,1989,Rich Stadium,Buffalo Bills,astroturf
201,1988,Rich Stadium,Buffalo Bills,astroturf
202,1987,Rich Stadium,Buffalo Bills,astroturf
203,1986,Rich Stadium,Buffalo Bills,astroturf
204,1985,Rich Stadium,Buffalo Bills,astroturf
205,1984,Rich Stadium,Buffalo Bills,astroturf
206,1983,Rich Stadium,Buffalo Bills,astroturf
207,1982,Rich Stadium,Buffalo Bills,astroturf
208,1981,Rich Stadium,Buffalo Bills,astroturf
209,1980,Rich Stadium,Buffalo Bills,astroturf
210,1979,Rich Stadium,Buffalo Bills,astroturf
211,1978,Rich Stadium,Buffalo Bills,astroturf
212,1977,Rich Stadium,Buffalo Bills,astroturf
213,1976,Rich Stadium,Buffalo Bills,astroturf
214,1975,Rich Stadium,Buffalo Bills,astroturf
215,1974,Rich Stadium,Buffalo Bills,astroturf
216,1973,Rich Stadium,Buffalo Bills,astroturf
217,1972,War Memorial Stadium,Buffalo Bills,grass
218,1971,War Memorial Stadium,Buffalo Bills,grass
219,1970,War Memorial Stadium,Buffalo Bills,grass
220,1969,War Memorial Stadium,Buffalo Bills,grass
221,1968,War Memorial Stadium,Buffalo Bills,grass
222,1967,War Memorial Stadium,Buffalo Bills,grass
223,1966,War Memorial Stadium,Buffalo Bills,grass
224,1965,War Memorial Stadium,Buffalo Bills,grass
225,1964,War Memorial Stadium,Buffalo Bills,grass
226,1963,War Memorial Stadium,Buffalo Bills,grass
227,1962,War Memorial Stadium,Buffalo Bills,grass
228,1961,War Memorial Stadium,Buffalo Bills,grass
229,1960,War Memorial Stadium,Buffalo Bills,grass
230,2017,Bank of America Stadium,Carolina Panthers,grass
231,2016,Bank of America Stadium,Carolina Panthers,grass
232,2015,Bank of America Stadium,Carolina Panthers,grass
233,2014,Bank of America Stadium,Carolina Panthers,grass
234,2013,Bank of America Stadium,Carolina Panthers,grass
235,2012,Bank of America Stadium,Carolina Panthers,grass
236,2011,Bank of America Stadium,Carolina Panthers,grass
237,2010,Bank of America Stadium,Carolina Panthers,grass
238,2009,Bank of America Stadium,Carolina Panthers,grass
239,2008,Bank of America Stadium,Carolina Panthers,grass
240,2007,Bank of America Stadium,Carolina Panthers,grass
241,2006,Bank of America Stadium,Carolina Panthers,grass
242,2005,Bank of America Stadium,Carolina Panthers,grass
243,2004,Bank of America Stadium,Carolina Panthers,grass
244,2003,Ericsson Stadium,Carolina Panthers,grass
245,2002,Ericsson Stadium,Carolina Panthers,grass
246,2001,Ericsson Stadium,Carolina Panthers,grass
247,2000,Ericsson Stadium,Carolina Panthers,grass
248,1999,Ericsson Stadium,Carolina Panthers,grass
249,1998,Ericsson Stadium,Carolina Panthers,grass
250,1997,Ericsson Stadium,Carolina Panthers,grass
251,1996,Ericsson Stadium,Carolina Panthers,grass
252,1995,Memorial Stadium (Clemson),Carolina Panthers,grass
253,2017,Soldier Field,Chicago Bears,grass
254,2016,Soldier Field,Chicago Bears,grass
255,2015,Soldier Field,Chicago Bears,grass
256,2014,Soldier Field,Chicago Bears,grass
257,2013,Soldier Field,Chicago Bears,grass
258,2012,Soldier Field,Chicago Bears,grass
259,2011,Soldier Field,Chicago Bears,grass
260,2010,Soldier Field,Chicago Bears,grass
261,2009,Soldier Field,Chicago Bears,grass
262,2008,Soldier Field,Chicago Bears,grass
263,2007,Soldier Field,Chicago Bears,grass
264,2006,Soldier Field,Chicago Bears,grass
265,2005,Soldier Field,Chicago Bears,grass
266,2004,Soldier Field,Chicago Bears,grass
267,2003,Soldier Field,Chicago Bears,grass
268,2002,Memorial Stadium (Champaign),Chicago Bears,astroplay
269,2001,Soldier Field,Chicago Bears,grass
270,2000,Soldier Field,Chicago Bears,grass
271,1999,Soldier Field,Chicago Bears,grass
272,1998,Soldier Field,Chicago Bears,grass
273,1997,Soldier Field,Chicago Bears,grass
274,1996,Soldier Field,Chicago Bears,grass
275,1995,Soldier Field,Chicago Bears,grass
276,1994,Soldier Field,Chicago Bears,grass
277,1993,Soldier Field,Chicago Bears,grass
278,1992,Soldier Field,Chicago Bears,grass
279,1991,Soldier Field,Chicago Bears,grass
280,1990,Soldier Field,Chicago Bears,grass
281,1989,Soldier Field,Chicago Bears,grass
282,1988,Soldier Field,Chicago Bears,grass
283,1987,Soldier Field,Chicago Bears,astroturf
284,1986,Soldier Field,Chicago Bears,astroturf
285,1985,Soldier Field,Chicago Bears,astroturf
286,1984,Soldier Field,Chicago Bears,astroturf
287,1983,Soldier Field,Chicago Bears,astroturf
288,1982,Soldier Field,Chicago Bears,astroturf
289,1981,Soldier Field,Chicago Bears,astroturf
290,1980,Soldier Field,Chicago Bears,astroturf
291,1979,Soldier Field,Chicago Bears,astroturf
292,1978,Soldier Field,Chicago Bears,astroturf
293,1977,Soldier Field,Chicago Bears,astroturf
294,1976,Soldier Field,Chicago Bears,astroturf
295,1975,Soldier Field,Chicago Bears,astroturf
296,1974,Soldier Field,Chicago Bears,astroturf
297,1973,Soldier Field,Chicago Bears,astroturf
298,1972,Soldier Field,Chicago Bears,astroturf
299,1971,Soldier Field,Chicago Bears,astroturf
300,1970,Wrigley Field,Chicago Bears,grass
301,1969,Wrigley Field,Chicago Bears,grass
302,1968,Wrigley Field,Chicago Bears,grass
303,1967,Wrigley Field,Chicago Bears,grass
304,1966,Wrigley Field,Chicago Bears,grass
305,1965,Wrigley Field,Chicago Bears,grass
306,1964,Wrigley Field,Chicago Bears,grass
307,1963,Wrigley Field,Chicago Bears,grass
308,1962,Wrigley Field,Chicago Bears,grass
309,1961,Wrigley Field,Chicago Bears,grass
310,1960,Wrigley Field,Chicago Bears,grass
311,1959,Wrigley Field,Chicago Bears,grass
312,1958,Wrigley Field,Chicago Bears,grass
313,1957,Wrigley Field,Chicago Bears,grass
314,1956,Wrigley Field,Chicago Bears,grass
315,1955,Wrigley Field,Chicago Bears,grass
316,1954,Wrigley Field,Chicago Bears,grass
317,1953,Wrigley Field,Chicago Bears,grass
318,1952,Wrigley Field,Chicago Bears,grass
319,1951,Wrigley Field,Chicago Bears,grass
320,1950,Wrigley Field,Chicago Bears,grass
321,1949,Wrigley Field,Chicago Bears,grass
322,1948,Wrigley Field,Chicago Bears,grass
323,1947,Wrigley Field,Chicago Bears,grass
324,1946,Wrigley Field,Chicago Bears,grass
325,1945,Wrigley Field,Chicago Bears,grass
326,1944,Wrigley Field,Chicago Bears,grass
327,1943,Wrigley Field,Chicago Bears,grass
328,1942,Wrigley Field,Chicago Bears,grass
329,1941,Wrigley Field,Chicago Bears,grass
330,1940,Wrigley Field,Chicago Bears,grass
331,1939,Wrigley Field,Chicago Bears,grass
332,1938,Wrigley Field,Chicago Bears,grass
333,1937,Wrigley Field,Chicago Bears,grass
334,1936,Wrigley Field,Chicago Bears,grass
335,1935,Wrigley Field,Chicago Bears,grass
336,1934,Wrigley Field,Chicago Bears,grass
337,1933,Wrigley Field,Chicago Bears,grass
338,1932,Wrigley Field,Chicago Bears,grass
339,1931,Wrigley Field,Chicago Bears,grass
340,1930,Wrigley Field,Chicago Bears,grass
341,1929,Wrigley Field,Chicago Bears,grass
342,1928,Wrigley Field,Chicago Bears,grass
343,1927,Wrigley Field,Chicago Bears,grass
344,1926,Wrigley Field,Chicago Bears,grass
345,1925,Cubs Park,Chicago Bears,grass
346,1924,Cubs Park,Chicago Bears,grass
347,1923,Cubs Park,Chicago Bears,grass
348,1922,Cubs Park,Chicago Bears,grass
349,1921,Staley Field/Cubs Fields,Chicago Bears,grass
350,1920,Staley Field,Chicago Bears,grass
351,2017,Paul Brown Stadium,Cincinnati Bengals,fieldturf
352,2016,Paul Brown Stadium,Cincinnati Bengals,fieldturf
353,2015,Paul Brown Stadium,Cincinnati Bengals,fieldturf
354,2014,Paul Brown Stadium,Cincinnati Bengals,fieldturf
355,2013,Paul Brown Stadium,Cincinnati Bengals,fieldturf
356,2012,Paul Brown Stadium,Cincinnati Bengals,fieldturf
357,2011,Paul Brown Stadium,Cincinnati Bengals,fieldturf
358,2010,Paul Brown Stadium,Cincinnati Bengals,fieldturf
359,2009,Paul Brown Stadium,Cincinnati Bengals,fieldturf
360,2008,Paul Brown Stadium,Cincinnati Bengals,fieldturf
361,2007,Paul Brown Stadium,Cincinnati Bengals,fieldturf
362,2006,Paul Brown Stadium,Cincinnati Bengals,fieldturf
363,2005,Paul Brown Stadium,Cincinnati Bengals,fieldturf
