,Season,Stadium,Teams,Actual Surface
486,2001,Texas Stadium,Dallas Cowboys,astroturf
487,2000,Texas Stadium,Dallas Cowboys,astroturf
488,1999,Texas Stadium,Dallas Cowboys,astroturf
489,1998,Texas Stadium,Dallas Cowboys,astroturf
490,1997,Texas Stadium,Dallas Cowboys,astroturf
491,1996,Texas Stadium,Dallas Cowboys,astroturf
492,1995,Texas Stadium,Dallas Cowboys,astroturf
493,1994,Texas Stadium,Dallas Cowboys,texasturf
494,1993,Texas Stadium,Dallas Cowboys,texasturf
495,1992,Texas Stadium,Dallas Cowboys,texasturf
496,1991,Texas Stadium,Dallas Cowboys,texasturf
497,1990,Texas Stadium,Dallas Cowboys,texasturf
498,1989,Texas Stadium,Dallas Cowboys,texasturf
499,1988,Texas Stadium,Dallas Cowboys,texasturf
500,1987,Texas Stadium,Dallas Cowboys,texasturf
501,1986,Texas Stadium,Dallas Cowboys,texasturf
502,1985,Texas Stadium,Dallas Cowboys,texasturf
503,1984,Texas Stadium,Dallas Cowboys,texasturf
504,1983,Texas Stadium,Dallas Cowboys,texasturf
505,1982,Texas Stadium,Dallas Cowboys,texasturf
506,1981,Texas Stadium,Dallas Cowboys,texasturf
507,1980,Texas Stadium,Dallas Cowboys,texasturf
508,1979,Texas Stadium,Dallas Cowboys,texasturf
509,1978,Texas Stadium,Dallas Cowboys,texasturf
510,1977,Texas Stadium,Dallas Cowboys,texasturf
511,1976,Texas Stadium,Dallas Cowboys,texasturf
512,1975,Texas Stadium,Dallas Cowboys,texasturf
513,1974,Texas Stadium,Dallas Cowboys,texasturf
514,1973,Texas Stadium,Dallas Cowboys,texasturf
515,1972,Texas Stadium,Dallas Cowboys,texasturf
516,1971,Texas Stadium,Dallas Cowboys,texasturf
517,1970,Cotton Bowl,Dallas Cowboys,astroturf
518,1969,Cotton Bowl,Dallas Cowboys,grass
519,1968,Cotton Bowl,Dallas Cowboys,grass
520,1967,Cotton Bowl,Dallas Cowboys,grass
521,1966,Cotton Bowl,Dallas Cowboys,grass
522,1965,Cotton Bowl,Dallas Cowboys,grass
523,1964,Cotton Bowl,Dallas Cowboys,grass
524,1963,Cotton Bowl,Dallas Cowboys,grass
525,1962,Cotton Bowl,Dallas Cowboys,grass
526,1961,Cotton Bowl,Dallas Cowboys,grass
527,1960,Cotton Bowl,Dallas Cowboys,grass
528,2017,Sports Authority Field at Mile High,Denver Broncos,grass
529,2016,Sports Authority Field at Mile High,Denver Broncos,grass
530,2015,Sports Authority Field at Mile High,Denver Broncos,grass
531,2014,Sports Authority Field at Mile High,Denver Broncos,grass
532,2013,Sports Authority Field at Mile High,Denver Broncos,grass
533,2012,Sports Authority Field at Mile High,Denver Broncos,grass
534,2011,Sports Authority Field at Mile High,Denver Broncos,grass
535,2010,Invesco Field at Mile High,Denver Broncos,grass
536,2009,Invesco Field at Mile High,Denver Broncos,grass
537,2008,Invesco Field at Mile High,Denver Broncos,grass
538,2007,Invesco Field at Mile High,Denver Broncos,grass
539,2006,Invesco Field at Mile High,Denver Broncos,grass
540,2005,Invesco Field at Mile High,Denver Broncos,grass
541,2004,Invesco Field at Mile High,Denver Broncos,grass
542,2003,Invesco Field at Mile High,Denver Broncos,grass
543,2002,Invesco Field at Mile High,Denver Broncos,grass
544,2001,Invesco Field at Mile High,Denver Broncos,grass
545,2000,Mile High Stadium,Denver Broncos,grass
546,1999,Mile High Stadium,Denver Broncos,grass
547,1998,Mile High Stadium,Denver Broncos,grass
548,1997,Mile High Stadium,Denver Broncos,grass
549,1996,Mile High Stadium,Denver Broncos,grass
550,1995,Mile High Stadium,Denver Broncos,grass
551,1994,Mile High Stadium,Denver Broncos,grass
552,1993,Mile High Stadium,Denver Broncos,grass
553,1992,Mile High Stadium,Denver Broncos,grass
554,1991,Mile High Stadium,Denver Broncos,grass
555,1990,Mile High Stadium,Denver Broncos,grass
556,1989,Mile High Stadium,Denver Broncos,grass
557,1988,Mile High Stadium,Denver Broncos,grass
558,1987,Mile High Stadium,Denver Broncos,grass
559,1986,Mile High Stadium,Denver Broncos,grass
560,1985,Mile High Stadium,Denver Broncos,grass
561,1984,Mile High Stadium,Denver Broncos,grass
562,1983,Mile High Stadium,Denver Broncos,grass
563,1982,Mile High Stadium,Denver Broncos,grass
564,1981,Mile High Stadium,Denver Broncos,grass
565,1980,Mile High Stadium,Denver Broncos,grass
566,1979,Mile High Stadium,Denver Broncos,grass
567,1978,Mile High Stadium,Denver Broncos,grass
568,1977,Mile High Stadium,Denver Broncos,grass
569,1976,Mile High Stadium,Denver Broncos,grass
570,1975,Mile High Stadium,Denver Broncos,grass
571,1974,Mile High Stadium,Denver Broncos,grass
572,1973,Mile High Stadium,Denver Broncos,grass
573,1972,Mile High Stadium,Denver Broncos,grass
574,1971,Mile High Stadium,Denver Broncos,grass
575,1970,Mile High Stadium,Denver Broncos,grass
576,1969,Mile High Stadium,Denver Broncos,grass
577,1968,Mile High Stadium,Denver Broncos,grass
578,1967,Bears Stadium,Denver Broncos,grass
579,1966,Bears Stadium,Denver Broncos,grass
580,1965,Bears Stadium,Denver Broncos,grass
581,1964,Bears Stadium,Denver Broncos,grass
582,1963,Bears Stadium,Denver Broncos,grass
583,1962,Bears Stadium,Denver Broncos,grass
584,1961,Bears Stadium,Denver Broncos,grass
585,1960,Bears Stadium,Denver Broncos,grass
586,2017,Ford Field,Detroit Lions,fieldturf
587,2016,Ford Field,Detroit Lions,fieldturf
588,2015,Ford Field,Detroit Lions,fieldturf
589,2014,Ford Field,Detroit Lions,fieldturf
590,2013,Ford Field,Detroit Lions,fieldturf
591,2012,Ford Field,Detroit Lions,fieldturf
592,2011,Ford Field,Detroit Lions,fieldturf
593,2010,Ford Field,Detroit Lions,fieldturf
594,2009,Ford Field,Detroit Lions,fieldturf
595,2008,Ford Field,Detroit Lions,fieldturf
596,2007,Ford Field,Detroit Lions,fieldturf
597,2006,Ford Field,Detroit Lions,fieldturf
598,2005,Ford Field,Detroit Lions,fieldturf
599,2004,Ford Field,Detroit Lions,fieldturf
600,2003,Ford Field,Detroit Lions,fieldturf
601,2002,Ford Field,Detroit Lions,fieldturf
602,2001,Pontiac Silverdome,Detroit Lions,astroturf
603,2000,Pontiac Silverdome,Detroit Lions,astroturf
604,1999,Pontiac Silverdome,Detroit Lions,astroturf
605,1998,Pontiac Silverdome,Detroit Lions,astroturf
606,1997,Pontiac Silverdome,Detroit Lions,astroturf
607,1996,Pontiac Silverdome,Detroit Lions,astroturf
608,1995,Pontiac Silverdome,Detroit Lions,astroturf
609,1994,Pontiac Silverdome,Detroit Lions,astroturf
610,1993,Pontiac Silverdome,Detroit Lions,astroturf
611,1992,Pontiac Silverdome,Detroit Lions,astroturf
612,1991,Pontiac Silverdome,Detroit Lions,astroturf
613,1990,Pontiac Silverdome,Detroit Lions,astroturf
614,1989,Pontiac Silverdome,Detroit Lions,astroturf
615,1988,Pontiac Silverdome,Detroit Lions,astroturf
616,1987,Pontiac Silverdome,Detroit Lions,astroturf
617,1986,Pontiac Silverdome,Detroit Lions,astroturf
618,1985,Pontiac Silverdome,Detroit Lions,astroturf
619,1984,Pontiac Silverdome,Detroit Lions,astroturf
620,1983,Pontiac Silverdome,Detroit Lions,astroturf
621,1982,Pontiac Silverdome,Detroit Lions,astroturf
622,1981,Pontiac Silverdome,Detroit Lions,astroturf
623,1980,Pontiac Silverdome,Detroit Lions,astroturf
624,1979,Pontiac Silverdome,Detroit Lions,astroturf
625,1978,Pontiac Silverdome,Detroit Lions,astroturf
626,1977,Pontiac Silverdome,Detroit Lions,astroturf
627,1976,Pontiac Silverdome,Detroit Lions,astroturf
628,1975,Pontiac Silverdome,Detroit Lions,astroturf
629,1974,Tiger Stadium,Detroit Lions,grass
630,1973,Tiger Stadium,Detroit Lions,grass
631,1972,Tiger Stadium,Detroit Lions,grass
632,1971,Tiger Stadium,Detroit Lions,grass
633,1970,Tiger Stadium,Detroit Lions,grass
634,1969,Tiger Stadium,Detroit Lions,grass
635,1968,Tiger Stadium,Detroit Lions,grass
636,1967,Tiger Stadium,Detroit Lions,grass
637,1966,Tiger Stadium,Detroit Lions,grass
638,1965,Tiger Stadium,Detroit Lions,grass
639,1964,Tiger Stadium,Detroit Lions,grass
640,1963,Tiger Stadium,Detroit Lions,grass
641,1962,Tiger Stadium,Detroit Lions,grass
642,1961,Tiger Stadium,Detroit Lions,grass
643,1960,Briggs Stadium,Detroit Lions,grass
644,1959,Briggs Stadium,Detroit Lions,grass
645,1958,Briggs Stadium,Detroit Lions,grass
646,1957,Briggs Stadium,Detroit Lions,grass
647,1956,Briggs Stadium,Detroit Lions,grass
648,1955,Briggs Stadium,Detroit Lions,grass
649,1954,Briggs Stadium,Detroit Lions,grass
650,1953,Briggs Stadium,Detroit Lions,grass
651,1952,Briggs Stadium,Detroit Lions,grass
652,1951,Briggs Stadium,Detroit Lions,grass
653,1950,Briggs Stadium,Detroit Lions,grass
654,1949,Briggs Stadium,Detroit Lions,grass
655,1948,Briggs Stadium,Detroit Lions,grass
656,1947,Briggs Stadium,Detroit Lions,grass
657,1946,Briggs Field,Detroit Lions,grass
658,1945,Briggs Stadium,Detroit Lions,grass
659,1944,Briggs Stadium,Detroit Lions,grass
660,1943,Briggs Stadium,Detroit Lions,grass
661,1942,Briggs Stadium,Detroit Lions,grass
662,1941,Briggs Stadium,Detroit Lions,grass
663,1940,University of Detroit Stadium,Detroit Lions,grass
664,1939,Briggs Stadium,Detroit Lions,grass
665,1938,Briggs Stadium,Detroit Lions,grass
666,1937,University of Detroit Stadium,Detroit Lions,grass
667,1936,University of Detroit Stadium,Detroit Lions,grass
668,1935,University of Detroit Stadium,Detroit Lions,grass
669,1934,University of Detroit Stadium,Detroit Lions,grass
670,1933,Universal Stadium,Detroit Lions,grass
671,1932,Universal Stadium,Detroit Lions,grass
672,1931,Universal Stadium,Detroit Lions,grass
673,1930,Universal Stadium,Detroit Lions,grass
674,2017,Lambeau Field,Green Bay Packers,grass
675,2016,Lambeau Field,Green Bay Packers,grass
676,2015,Lambeau Field,Green Bay Packers,grass
677,2014,Lambeau Field,Green Bay Packers,grass
678,2013,Lambeau Field,Green Bay Packers,grass
679,2012,Lambeau Field,Green Bay Packers,grass
680,2011,Lambeau Field,Green Bay Packers,grass
681,2010,Lambeau Field,Green Bay Packers,grass
682,2009,Lambeau Field,Green Bay Packers,grass
683,2008,Lambeau Field,Green Bay Packers,grass
684,2007,Lambeau Field,Green Bay Packers,grass
685,2006,Lambeau Field,Green Bay Packers,grass
686,2005,Lambeau Field,Green Bay Packers,grass
687,2004,Lambeau Field,Green Bay Packers,grass
688,2003,Lambeau Field,Green Bay Packers,grass
689,2002,Lambeau Field,Green Bay Packers,grass
690,2001,Lambeau Field,Green Bay Packers,grass
691,2000,Lambeau Field,Green Bay Packers,grass
692,1999,Lambeau Field,Green Bay Packers,grass
693,1998,Lambeau Field,Green Bay Packers,grass
694,1997,Lambeau Field,Green Bay Packers,grass
695,1996,Lambeau Field,Green Bay Packers,grass
696,1995,Lambeau Field,Green Bay Packers,grass
697,1994,Lambeau Field,Green Bay Packers,grass
698,1993,Lambeau Field,Green Bay Packers,grass
699,1992,Lambeau Field,Green Bay Packers,grass
700,1991,Lambeau Field,Green Bay Packers,grass
701,1990,Lambeau Field,Green Bay Packers,grass
702,1989,Lambeau Field,Green Bay Packers,grass
703,1988,Lambeau Field,Green Bay Packers,grass
704,1987,Lambeau Field,Green Bay Packers,grass
705,1986,Lambeau Field,Green Bay Packers,grass
706,1985,Lambeau Field,Green Bay Packers,grass
707,1984,Lambeau Field,Green Bay Packers,grass
708,1983,Lambeau Field,Green Bay Packers,grass
709,1982,Milwaukee County Stadium,Green Bay Packers,grass
710,1981,Lambeau Field,Green Bay Packers,grass
711,1980,Lambeau Field,Green Bay Packers,grass
712,1979,Lambeau Field,Green Bay Packers,grass
713,1978,Lambeau Field,Green Bay Packers,grass
714,1977,Lambeau Field,Green Bay Packers,grass
715,1976,Lambeau Field,Green Bay Packers,grass
716,1975,Lambeau Field,Green Bay Packers,grass
717,1974,Lambeau Field,Green Bay Packers,grass
718,1973,Lambeau Field,Green Bay Packers,grass
719,1972,Lambeau Field,Green Bay Packers,grass
720,1971,Lambeau Field,Green Bay Packers,grass
721,1970,Lambeau Field,Green Bay Packers,grass
722,1969,Lambeau Field,Green Bay Packers,grass
723,1968,Lambeau Field,Green Bay Packers,grass
724,1967,Lambeau Field,Green Bay Packers,grass
725,1966,Lambeau Field,Green Bay Packers,grass
726,1965,Lambeau Field,Green Bay Packers,grass
727,1964,New City Stadium,Green Bay Packers,grass
728,1963,New City Stadium,Green Bay Packers,grass
729,1962,New City Stadium,Green Bay Packers,grass
730,1961,New City Stadium,Green Bay Packers,grass
731,1960,New City Stadium,Green Bay Packers,grass
732,1959,New City Stadium,Green Bay Packers,grass
733,1958,New City Stadium,Green Bay Packers,grass
734,1957,New City Stadium,Green Bay Packers,grass
735,1956,City Stadium,Green Bay Packers,grass
736,1955,City Stadium,Green Bay Packers,grass
737,1954,City Stadium,Green Bay Packers,grass
738,1953,City Stadium,Green Bay Packers,grass
739,1952,City Stadium,Green Bay Packers,grass
740,1951,City Stadium,Green Bay Packers,grass
741,1950,City Stadium,Green Bay Packers,grass
742,1949,City Stadium,Green Bay Packers,grass
743,1948,City Stadium,Green Bay Packers,grass
744,1947,City Stadium,Green Bay Packers,grass
745,1946,City Stadium,Green Bay Packers,grass
746,1945,City Stadium,Green Bay Packers,grass
747,1944,City Stadium,Green Bay Packers,grass
748,1943,City Stadium,Green Bay Packers,grass
749,1942,City Stadium,Green Bay Packers,grass
750,1941,City Stadium,Green Bay Packers,grass
751,1940,City Stadium,Green Bay Packers,grass
752,1939,City Stadium,Green Bay Packers,grass
753,1938,City Stadium,Green Bay Packers,grass
754,1937,City Stadium,Green Bay Packers,grass
755,1936,City Stadium,Green Bay Packers,grass
756,1935,City Stadium,Green Bay Packers,grass
757,1934,City Stadium,Green Bay Packers,grass
758,1933,City Stadium,Green Bay Packers,grass
759,1932,City Stadium,Green Bay Packers,grass
760,1931,City Stadium,Green Bay Packers,grass
761,1930,City Stadium,Green Bay Packers,grass
762,1929,City Stadium,Green Bay Packers,grass
763,1928,City Stadium,Green Bay Packers,grass
764,1927,City Stadium,Green Bay Packers,grass
765,1926,City Stadium,Green Bay Packers,grass
766,1925,City Stadium,Green Bay Packers,grass
767,1924,Bellevue Field,Green Bay Packers,grass
768,1923,Bellevue Field,Green Bay Packers,grass
769,1922,Hagemeister Park,Green Bay Packers,grass
770,1921,Hagemeister Park,Green Bay Packers,grass
771,2017,NRG Stadium,Houston Texans,astroturf
772,2016,NRG Stadium,Houston Texans,astroturf
773,2015,NRG Stadium,Houston Texans,astroturf
774,2014,NRG Stadium,Houston Texans,grass
775,2013,Reliant Stadium,Houston Texans,grass
776,2012,Reliant Stadium,Houston Texans,grass
777,2011,Reliant Stadium,Houston Texans,grass
778,2010,Reliant Stadium,Houston Texans,grass
779,2009,Reliant Stadium,Houston Texans,grass
780,2008,Reliant Stadium,Houston Texans,grass
781,2007,Reliant Stadium,Houston Texans,grass
782,2006,Reliant Stadium,Houston Texans,grass
783,2005,Reliant Stadium,Houston Texans,grass
784,2004,Reliant Stadium,Houston Texans,grass
785,2003,Reliant Stadium,Houston Texans,grass
786,2002,Reliant Stadium,Houston Texans,grass
787,2017,Lucas Oil Stadium,Indianapolis Colts,fieldturf
788,2016,Lucas Oil Stadium,Indianapolis Colts,fieldturf
789,2015,Lucas Oil Stadium,Indianapolis Colts,fieldturf
790,2014,Lucas Oil Stadium,Indianapolis Colts,fieldturf
791,2013,Lucas Oil Stadium,Indianapolis Colts,fieldturf
792,2012,Lucas Oil Stadium,Indianapolis Colts,fieldturf
793,2011,Lucas Oil Stadium,Indianapolis Colts,fieldturf
794,2010,Lucas Oil Stadium,Indianapolis Colts,fieldturf
795,2009,Lucas Oil Stadium,Indianapolis Colts,fieldturf
796,2008,Lucas Oil Stadium,Indianapolis Colts,fieldturf
797,2007,RCA Dome,Indianapolis Colts,fieldturf
798,2006,RCA Dome,Indianapolis Colts,fieldturf
799,2005,RCA Dome,Indianapolis Colts,fieldturf
800,2004,RCA Dome,Indianapolis Colts,astroturf
801,2003,RCA Dome,Indianapolis Colts,astroturf
802,2002,RCA Dome,Indianapolis Colts,astroturf
803,2001,RCA Dome,Indianapolis Colts,astroturf
804,2000,RCA Dome,Indianapolis Colts,astroturf
805,1999,RCA Dome,Indianapolis Colts,astroturf
806,1998,RCA Dome,Indianapolis Colts,astroturf
807,1997,RCA Dome,Indianapolis Colts,astroturf
808,1996,RCA Dome,Indianapolis Colts,astroturf
809,1995,RCA Dome,Indianapolis Colts,astroturf
810,1994,RCA Dome,Indianapolis Colts,astroturf
811,1993,Hoosier Dome,Indianapolis Colts,astroturf
812,1992,Hoosier Dome,Indianapolis Colts,astroturf
813,1991,Hoosier Dome,Indianapolis Colts,astroturf
814,1990,Hoosier Dome,Indianapolis Colts,astroturf
815,1989,Hoosier Dome,Indianapolis Colts,astroturf
816,1988,Hoosier Dome,Indianapolis Colts,astroturf
817,1987,Hoosier Dome,Indianapolis Colts,astroturf
818,1986,Hoosier Dome,Indianapolis Colts,astroturf
819,1985,Hoosier Dome,Indianapolis Colts,astroturf
820,1984,Hoosier Dome,Indianapolis Colts,astroturf
821,1983,Memorial Stadium (Baltimore),Indianapolis Colts,grass
822,1982,Memorial Stadium (Baltimore),Indianapolis Colts,grass
823,1981,Memorial Stadium (Baltimore),Indianapolis Colts,grass
824,1980,Memorial Stadium (Baltimore),Indianapolis Colts,grass
825,1979,Memorial Stadium (Baltimore),Indianapolis Colts,grass
826,1978,Memorial Stadium (Baltimore),Indianapolis Colts,grass
827,1977,Memorial Stadium (Baltimore),Indianapolis Colts,grass
828,1976,Memorial Stadium (Baltimore),Indianapolis Colts,grass
829,1975,Memorial Stadium (Baltimore),Indianapolis Colts,grass
830,1974,Memorial Stadium (Baltimore),Indianapolis Colts,grass
831,1973,Memorial Stadium (Baltimore),Indianapolis Colts,grass
832,1972,Memorial Stadium (Baltimore),Indianapolis Colts,grass
833,1971,Memorial Stadium (Baltimore),Indianapolis Colts,grass
834,1970,Memorial Stadium (Baltimore),Indianapolis Colts,grass
835,1969,Memorial Stadium (Baltimore),Indianapolis Colts,grass
836,1968,Memorial Stadium (Baltimore),Indianapolis Colts,grass
837,1967,Memorial Stadium (Baltimore),Indianapolis Colts,grass
838,1966,Memorial Stadium (Baltimore),Indianapolis Colts,grass
839,1965,Memorial Stadium (Baltimore),Indianapolis Colts,grass
840,1964,Memorial Stadium (Baltimore),Indianapolis Colts,grass
841,1963,Memorial Stadium (Baltimore),Indianapolis Colts,grass
842,1962,Memorial Stadium (Baltimore),Indianapolis Colts,grass
843,1961,Memorial Stadium (Baltimore),Indianapolis Colts,grass
844,1960,Memorial Stadium (Baltimore),Indianapolis Colts,grass
845,1959,Memorial Stadium (Baltimore),Indianapolis Colts,grass
846,1958,Memorial Stadium (Baltimore),Indianapolis Colts,grass
847,1957,Memorial Stadium (Baltimore),Indianapolis Colts,grass
848,1956,Memorial Stadium (Baltimore),Indianapolis Colts,grass
849,1955,Memorial Stadium (Baltimore),Indianapolis Colts,grass
850,1954,Memorial Stadium (Baltimore),Indianapolis Colts,grass
851,1953,Memorial Stadium (Baltimore),Indianapolis Colts,grass
852,2017,EverBank Field,Jacksonville Jaguars,grass
853,2016,EverBank Field,Jacksonville Jaguars,grass
854,2015,EverBank Field,Jacksonville Jaguars,grass
855,2014,EverBank Field,Jacksonville Jaguars,grass
856,2013,EverBank Field,Jacksonville Jaguars,grass
857,2012,EverBank Field,Jacksonville Jaguars,grass
858,2011,EverBank Field,Jacksonville Jaguars,grass
859,2010,EverBank Field,Jacksonville Jaguars,grass
860,2009,Jacksonville Municipal Stadium,Jacksonville Jaguars,grass
861,2008,Jacksonville Municipal Stadium,Jacksonville Jaguars,grass
862,2007,Jacksonville Municipal Stadium,Jacksonville Jaguars,grass
863,2006,Alltel Stadium,Jacksonville Jaguars,grass
864,2005,Alltel Stadium,Jacksonville Jaguars,grass
865,2004,Alltel Stadium,Jacksonville Jaguars,grass
866,2003,Alltel Stadium,Jacksonville Jaguars,grass
867,2002,Alltel Stadium,Jacksonville Jaguars,grass
868,2001,Alltel Stadium,Jacksonville Jaguars,grass
869,2000,Alltel Stadium,Jacksonville Jaguars,grass
870,1999,Alltel Stadium,Jacksonville Jaguars,grass
871,1998,Alltel Stadium,Jacksonville Jaguars,grass
872,1997,Alltel Stadium,Jacksonville Jaguars,grass
873,1996,Jacksonville Municipal Stadium,Jacksonville Jaguars,grass
874,1995,Jacksonville Municipal Stadium,Jacksonville Jaguars,grass
875,2017,Arrowhead Stadium,Kansas City Chiefs,grass
876,2016,Arrowhead Stadium,Kansas City Chiefs,grass
877,2015,Arrowhead Stadium,Kansas City Chiefs,grass
878,2014,Arrowhead Stadium,Kansas City Chiefs,grass
879,2013,Arrowhead Stadium,Kansas City Chiefs,grass
880,2012,Arrowhead Stadium,Kansas City Chiefs,grass
881,2011,Arrowhead Stadium,Kansas City Chiefs,grass
882,2010,Arrowhead Stadium,Kansas City Chiefs,grass
883,2009,Arrowhead Stadium,Kansas City Chiefs,grass
884,2008,Arrowhead Stadium,Kansas City Chiefs,grass
885,2007,Arrowhead Stadium,Kansas City Chiefs,grass
886,2006,Arrowhead Stadium,Kansas City Chiefs,grass
887,2005,Arrowhead Stadium,Kansas City Chiefs,grass
888,2004,Arrowhead Stadium,Kansas City Chiefs,grass
889,2003,Arrowhead Stadium,Kansas City Chiefs,grass
890,2002,Arrowhead Stadium,Kansas City Chiefs,grass
891,2001,Arrowhead Stadium,Kansas City Chiefs,grass
892,2000,Arrowhead Stadium,Kansas City Chiefs,grass
893,1999,Arrowhead Stadium,Kansas City Chiefs,grass
894,1998,Arrowhead Stadium,Kansas City Chiefs,grass
895,1997,Arrowhead Stadium,Kansas City Chiefs,grass
896,1996,Arrowhead Stadium,Kansas City Chiefs,grass
897,1995,Arrowhead Stadium,Kansas City Chiefs,grass
898,1994,Arrowhead Stadium,Kansas City Chiefs,grass
899,1993,Arrowhead Stadium,Kansas City Chiefs,astroturf
900,1992,Arrowhead Stadium,Kansas City Chiefs,astroturf
901,1991,Arrowhead Stadium,Kansas City Chiefs,astroturf
902,1990,Arrowhead Stadium,Kansas City Chiefs,astroturf
903,1989,Arrowhead Stadium,Kansas City Chiefs,astroturf
904,1988,Arrowhead Stadium,Kansas City Chiefs,astroturf
905,1987,Arrowhead Stadium,Kansas City Chiefs,astroturf
906,1986,Arrowhead Stadium,Kansas City Chiefs,astroturf
907,1985,Arrowhead Stadium,Kansas City Chiefs,astroturf
908,1984,Arrowhead Stadium,Kansas City Chiefs,astroturf
909,1983,Arrowhead Stadium,Kansas City Chiefs,astroturf
910,1982,Arrowhead Stadium,Kansas City Chiefs,astroturf
911,1981,Arrowhead Stadium,Kansas City Chiefs,astroturf
912,1980,Arrowhead Stadium,Kansas City Chiefs,astroturf
913,1979,Arrowhead Stadium,Kansas City Chiefs,astroturf
914,1978,Arrowhead Stadium,Kansas City Chiefs,astroturf
915,1977,Arrowhead Stadium,Kansas City Chiefs,astroturf
916,1976,Arrowhead Stadium,Kansas City Chiefs,astroturf
917,1975,Arrowhead Stadium,Kansas City Chiefs,astroturf
918,1974,Arrowhead Stadium,Kansas City Chiefs,astroturf
919,1973,Arrowhead Stadium,Kansas City Chiefs,astroturf
920,1972,Arrowhead Stadium,Kansas City Chiefs,astroturf
921,1971,Kansas City Municipal Stadium,Kansas City Chiefs,grass
922,1970,Kansas City Municipal Stadium,Kansas City Chiefs,grass
923,1969,Kansas City Municipal Stadium,Kansas City Chiefs,grass
924,1968,Kansas City Municipal Stadium,Kansas City Chiefs,grass
925,1967,Kansas City Municipal Stadium,Kansas City Chiefs,grass
926,1966,Kansas City Municipal Stadium,Kansas City Chiefs,grass
927,1965,Kansas City Municipal Stadium,Kansas City Chiefs,grass
928,1964,Kansas City Municipal Stadium,Kansas City Chiefs,grass
929,1963,Kansas City Municipal Stadium,Kansas City Chiefs,grass
930,1962,Cotton Bowl,Kansas City Chiefs,grass
931,1961,Cotton Bowl,Kansas City Chiefs,grass
932,1960,Cotton Bowl,Kansas City Chiefs,grass
933,2017,StubHub Center,Los Angeles Chargers,grass
934,2016,Qualcomm Stadium,Los Angeles Chargers,grass
935,2015,Qualcomm Stadium,Los Angeles Chargers,grass
936,2014,Qualcomm Stadium,Los Angeles Chargers,grass
937,2013,Qualcomm Stadium,Los Angeles Chargers,grass
938,2012,Qualcomm Stadium,Los Angeles Chargers,grass
939,2011,Qualcomm Stadium,Los Angeles Chargers,grass
940,2010,Qualcomm Stadium,Los Angeles Chargers,grass
941,2009,Qualcomm Stadium,Los Angeles Chargers,grass
942,2008,Qualcomm Stadium,Los Angeles Chargers,grass
943,2007,Qualcomm Stadium,Los Angeles Chargers,grass
944,2006,Qualcomm Stadium,Los Angeles Chargers,grass
945,2005,Qualcomm Stadium,Los Angeles Chargers,grass
946,2004,Qualcomm Stadium,Los Angeles Chargers,grass
947,2003,Qualcomm Stadium,Los Angeles Chargers,grass
948,2002,Qualcomm Stadium,Los Angeles Chargers,grass
949,2001,Qualcomm Stadium,Los Angeles Chargers,grass
950,2000,Qualcomm Stadium,Los Angeles Chargers,grass
951,1999,Qualcomm Stadium,Los Angeles Chargers,grass
952,1998,Qualcomm Stadium,Los Angeles Chargers,grass
953,1997,Qualcomm Stadium,Los Angeles Chargers,grass
954,1996,Jack Murphy Stadium,Los Angeles Chargers,grass
955,1995,Jack Murphy Stadium,Los Angeles Chargers,grass
956,1994,Jack Murphy Stadium,Los Angeles Chargers,grass
957,1993,Jack Murphy Stadium,Los Angeles Chargers,grass
958,1992,Jack Murphy Stadium,Los Angeles Chargers,grass
959,1991,Jack Murphy Stadium,Los Angeles Chargers,grass
960,1990,Jack Murphy Stadium,Los Angeles Chargers,grass
961,1989,Jack Murphy Stadium,Los Angeles Chargers,grass
962,1988,Jack Murphy Stadium,Los Angeles Chargers,grass
963,1987,Jack Murphy Stadium,Los Angeles Chargers,grass
964,1986,Jack Murphy Stadium,Los Angeles Chargers,grass
965,1985,Jack Murphy Stadium,Los Angeles Chargers,grass
966,1984,Jack Murphy Stadium,Los Angeles Chargers,grass
967,1983,Jack Murphy Stadium,Los Angeles Chargers,grass
968,1982,Jack Murphy Stadium,Los Angeles Chargers,grass
969,1981,Jack Murphy Stadium,Los Angeles Chargers,grass
970,1980,Jack Murphy Stadium,Los Angeles Chargers,grass
971,1979,San Diego Stadium,Los Angeles Chargers,grass
972,1978,San Diego Stadium,Los Angeles Chargers,grass
973,1977,San Diego Stadium,Los Angeles Chargers,grass
974,1976,San Diego Stadium,Los Angeles Chargers,grass
975,1975,San Diego Stadium,Los Angeles Chargers,grass
976,1974,San Diego Stadium,Los Angeles Chargers,grass
977,1973,San Diego Stadium,Los Angeles Chargers,grass
978,1972,San Diego Stadium,Los Angeles Chargers,grass
979,1971,San Diego Stadium,Los Angeles Chargers,grass
980,1970,San Diego Stadium,Los Angeles Chargers,grass
981,1969,San Diego Stadium,Los Angeles Chargers,grass
982,1968,San Diego Stadium,Los Angeles Chargers,grass
983,1967,San Diego Stadium,Los Angeles Chargers,grass
984,1966,Balboa Stadium,Los Angeles Chargers,grass
985,1965,Balboa Stadium,Los Angeles Chargers,grass
986,1964,Balboa Stadium,Los Angeles Chargers,grass
987,1963,Balboa Stadium,Los Angeles Chargers,grass
988,1962,Balboa Stadium,Los Angeles Chargers,grass
989,1961,Balboa Stadium,Los Angeles Chargers,grass
990,1960,Los Angeles Memorial Coliseum,Los Angeles Chargers,grass
